timestamp_utc,symbol,session,direction,action,price,qty,sl,tp,risk_per_unit,fee_r,order_id,equity_before,equity_after,notes
2026-02-13 16:10:03,IRYS/USDT:USDT,ny,long,ENTRY,0.04351900,78480.000000,0.04326400,0.04390200,0.00025500,0.0683,13453fdf-3a57-4fb0-91b5-f4fb89f59246,1000.64,,fc_high=0.043416 fc_low=0.043112
2026-02-13 16:10:03,IRYS/USDT:USDT,ny,long,ENTRY,0.04341600,65830.000000,0.04326400,0.04364400,0.00015200,0.1143,b9f9518c-d2d1-43f8-9264-2c031366585e,1000.64,,SCALE-IN limit @ FC boundary
2026-02-13 16:10:05,CLO/USDT:USDT,ny,long,ENTRY,0.08358000,10289.000000,0.08164000,0.08650000,0.00194500,0.0172,ba015df1-a6ea-4e17-9393-c045d570839c,1000.64,,fc_high=0.08274 fc_low=0.08053
2026-02-13 16:10:05,CLO/USDT:USDT,ny,long,ENTRY,0.08274000,9055.000000,0.08164000,0.08440000,0.00110500,0.0300,93212273-3275-4dc8-9f81-f81a7fc0be76,1000.64,,SCALE-IN limit @ FC boundary
2026-02-13 16:10:07,WHITEWHALE/USDT:USDT,ny,long,ENTRY,0.09114000,13610.000000,0.08967000,0.09335000,0.00147000,0.0248,d6be8d37-404d-4f07-ad99-531aa5cc4595,1000.64,,fc_high=0.0903 fc_low=0.08904
2026-02-13 16:14:17,IRYS/USDT:USDT,ny,long,EXIT,0.04389900,78480.000000,,,,,13453fdf-3a57-4fb0-91b5-f4fb89f59246,,1027.29,WIN [scale: unfilled]
2026-02-13 16:31:30,CLO/USDT:USDT,ny,long,EXIT,0.08659000,10289.000000,,,,,ba015df1-a6ea-4e17-9393-c045d570839c,,1056.56,WIN [scale: unfilled]
2026-02-14 03:57:44,WHITEWHALE/USDT:USDT,ny,long,EXIT,0.08956000,13610.000000,,,,,d6be8d37-404d-4f07-ad99-531aa5cc4595,,1033.98,LOSS
2026-02-14 08:10:03,CYS/USDT:USDT,london,long,ENTRY,0.45840000,11488.000000,0.45660000,0.46110000,0.00180000,0.1019,17e35f3d-d795-4a5a-b23e-9a4602ee791c,1033.98,,fc_high=0.4576 fc_low=0.4556
2026-02-14 08:10:03,CYS/USDT:USDT,london,long,ENTRY,0.45760000,10339.000000,0.45660000,0.45910000,0.00100000,0.1830,f0dca953-3bde-46e5-91b9-0d439c966b9b,1033.98,,SCALE-IN limit @ FC boundary
