config_name,pair,trades,wins,losses,win_rate,total_r,avg_r,avg_win_r,avg_loss_r,profit_factor,max_drawdown_r,best_r,worst_r,expectancy_r,exit_reasons
ultra_a0.75_d0.05_filt,10000QUBIC/USDT:USDT,15,5,10,0.3333,1.881,0.1254,1.9763,-0.8,1.235,5.0,4.057,-1.0,0.1254,"{'sl': 10, 'trail': 5}"
ultra_a0.75_d0.05_filt,1000BONK/USDT:USDT,28,6,22,0.2143,-2.049,-0.0732,1.8252,-0.5909,0.842,4.77,3.134,-1.0,-0.0732,"{'sl': 22, 'trail': 6}"
ultra_a0.75_d0.05_filt,1000TOSHI/USDT:USDT,26,7,19,0.2692,-5.65,-0.2173,1.3357,-0.7895,0.623,7.4,2.061,-1.0,-0.2173,"{'trail': 7, 'sl': 19}"
ultra_a0.75_d0.05_filt,ACU/USDT:USDT,4,2,2,0.5,1.675,0.4187,1.3375,-0.5,2.675,1.0,1.805,-1.0,0.4187,"{'sl': 2, 'trail': 2}"
ultra_a0.75_d0.05_filt,AERO/USDT:USDT,24,9,15,0.375,5.765,0.2402,1.7517,-0.6667,1.577,3.0,3.233,-1.0,0.2402,"{'sl': 15, 'trail': 9}"
ultra_a0.75_d0.05_filt,ALCH/USDT:USDT,18,4,14,0.2222,-1.194,-0.0664,1.4514,-0.5,0.829,3.31,2.158,-1.0,-0.0664,"{'sl': 14, 'trail': 4}"
ultra_a0.75_d0.05_filt,ALLO/USDT:USDT,12,6,6,0.5,6.8,0.5667,1.9667,-0.8333,2.36,3.0,2.815,-1.0,0.5667,"{'sl': 6, 'trail': 6}"
ultra_a0.75_d0.05_filt,ALU/USDT:USDT,13,5,8,0.3846,-0.947,-0.0729,1.2106,-0.875,0.865,3.54,1.465,-1.0,-0.0729,"{'sl': 8, 'trail': 5}"
ultra_a0.75_d0.05_filt,APEX/USDT:USDT,22,9,13,0.4091,4.283,0.1947,1.4759,-0.6923,1.476,4.0,2.291,-1.0,0.1947,"{'sl': 13, 'trail': 9}"
ultra_a0.75_d0.05_filt,APE/USDT:USDT,28,12,16,0.4286,11.471,0.4097,2.0392,-0.8125,1.882,8.0,3.888,-1.0,0.4097,"{'trail': 12, 'sl': 16}"
ultra_a0.75_d0.05_filt,API3/USDT:USDT,21,8,13,0.381,2.911,0.1386,1.7388,-0.8462,1.265,4.22,2.744,-1.0,0.1386,"{'sl': 13, 'trail': 8}"
ultra_a0.75_d0.05_filt,APT/USDT:USDT,23,9,14,0.3913,0.13,0.0057,1.1256,-0.7143,1.013,5.08,2.117,-1.0,0.0057,"{'sl': 14, 'trail': 9}"
ultra_a0.75_d0.05_filt,ARB/USDT:USDT,28,14,14,0.5,16.819,0.6007,1.7728,-0.5714,3.102,2.0,3.95,-1.0,0.6007,"{'trail': 14, 'sl': 14}"
ultra_a0.75_d0.05_filt,ARC/USDT:USDT,23,6,17,0.2609,0.821,0.0357,1.9701,-0.6471,1.075,5.0,3.35,-1.0,0.0357,"{'sl': 17, 'trail': 6}"
ultra_a0.75_d0.05_filt,ASTER/USDT:USDT,22,9,13,0.4091,4.672,0.2124,1.6302,-0.7692,1.467,3.0,2.572,-1.0,0.2124,"{'sl': 13, 'trail': 9}"
ultra_a0.75_d0.05_filt,ATOM/USDT:USDT,22,7,15,0.3182,2.994,0.1361,1.8562,-0.6667,1.299,6.65,3.117,-1.0,0.1361,"{'trail': 7, 'sl': 15}"
