config_name,trail_enabled,tp_r,trail_act_r,trail_dist_r,trail_max_r,filtered,total_trades,total_wins,total_losses,win_rate,total_r,avg_r,avg_win_r,avg_loss_r,profit_factor,max_dd_r,sharpe_r,kelly_f,payoff_ratio,profitable_pairs,tested_pairs,pair_hit_rate,equity_12,dd_12,equity_08,dd_08,equity_06,dd_06,equity_04,dd_04,equity_02,dd_02,trades_to_x10,exit_sl,exit_tp,exit_trail,exit_session_end,exit_max_r,exit_data_end
ultra_a0.75_d0.05_filt,True,1.5,0.75,0.05,10.0,True,2509,943,1566,0.3758,602.23,0.24,1.8486,-0.7286,1.528,14.24,0.1625,0.1298,2.537,95,121,0.785,4.751019708304252e+18,0.9939,1.5390984091134938e+16,0.962,75962722745147.44,0.9096,65254505968.31,0.792,8639095.57,0.5364,81.1,1566,0,941,0,2,0
ultra_a0.85_d0.05_filt,True,1.5,0.85,0.05,10.0,True,2509,952,1557,0.3794,620.77,0.2474,1.9052,-0.7662,1.52,16.24,0.1639,0.1299,2.487,92,121,0.76,8.772773469343432e+18,0.9951,3.2285585644255492e+16,0.9671,150918827908367.44,0.9189,112908311699.34,0.8063,11913418.22,0.5527,78.7,1557,0,950,0,2,0
ultra_a0.95_d0.05_filt,True,1.5,0.95,0.05,10.0,True,2509,952,1557,0.3794,658.3,0.2624,2.0066,-0.8041,1.526,17.27,0.1668,0.1308,2.495,88,121,0.727,4.859251312144826e+19,0.9976,1.7137691731122707e+17,0.979,656586258013354.4,0.9417,352187154014.91,0.8442,22932799.0,0.5982,74.3,1557,0,949,0,3,0
ultra_a1.0_d0.05_filt,True,1.5,1.0,0.05,10.0,True,2509,942,1567,0.3754,653.16,0.2603,2.0426,-0.8111,1.514,17.27,0.164,0.1274,2.518,86,121,0.711,1.3718789510772306e+19,0.9983,8.36481363189248e+16,0.9806,403633429197888.56,0.9451,264112944656.12,0.8504,20253977.21,0.6063,74.9,1567,0,939,0,3,0
ultra_a1.1_d0.05_filt,True,1.5,1.1,0.05,10.0,True,2509,939,1570,0.3743,678.49,0.2704,2.1326,-0.8433,1.512,18.71,0.1654,0.1268,2.529,93,121,0.769,2.97449993628758e+19,0.9991,2.1745623991640826e+17,0.9814,988710723708278.9,0.9447,545334433128.39,0.8479,31178948.5,0.6021,72.1,1570,0,936,0,3,0
ultra_a1.25_d0.05_filt,True,1.5,1.25,0.05,10.0,True,2509,930,1579,0.3707,698.26,0.2783,2.2433,-0.879,1.503,15.93,0.1651,0.1241,2.552,94,121,0.777,2.3687932166734602e+19,0.9993,3.116723308781826e+17,0.9844,1594084258655675.0,0.9524,868528263603.79,0.8621,42558731.17,0.6207,70.1,1579,0,927,0,3,0
ultra_a0.75_d0.08_filt,True,1.5,0.75,0.08,10.0,True,2509,943,1566,0.3758,574.0,0.2288,1.8187,-0.7286,1.503,14.6,0.1562,0.1258,2.496,93,121,0.769,2.867722018743618e+17,0.9944,2121644133148830.2,0.9628,16415776572848.66,0.9111,22737150583.68,0.7943,5009119.15,0.5391,85.0,1566,0,941,0,2,0
ultra_a0.85_d0.08_filt,True,1.5,0.85,0.08,10.0,True,2509,952,1557,0.3794,592.27,0.2361,1.8753,-0.7662,1.496,16.6,0.1576,0.1259,2.447,91,121,0.752,5.243250116854393e+17,0.9955,4403558089526209.5,0.9677,32298762039696.03,0.92,39037167011.05,0.8083,6875930.41,0.555,82.4,1557,0,950,0,2,0
ultra_a0.95_d0.08_filt,True,1.5,0.95,0.08,10.0,True,2509,952,1557,0.3794,629.83,0.251,1.9767,-0.8041,1.503,17.6,0.1609,0.127,2.458,87,121,0.719,2.989030840357125e+18,0.9979,2.3727676385383204e+16,0.9794,141837412360717.38,0.9426,122349746759.33,0.8458,13256547.92,0.6003,77.6,1557,0,949,0,3,0
ultra_a1.0_d0.08_filt,True,1.5,1.0,0.08,10.0,True,2509,942,1567,0.3754,624.99,0.2491,2.0127,-0.8111,1.492,17.6,0.1582,0.1238,2.481,85,121,0.702,8.773532848639387e+17,0.9986,1.1882106712631608e+16,0.9809,88869857292157.39,0.9458,92908888430.42,0.8517,11780226.03,0.6081,78.2,1567,0,939,0,3,0
ultra_a1.1_d0.08_filt,True,1.5,1.1,0.08,10.0,True,2509,939,1570,0.3743,650.41,0.2592,2.1027,-0.8433,1.491,19.1,0.1598,0.1233,2.493,93,121,0.769,1.965945599083965e+18,0.9993,3.1461710020152884e+16,0.9839,220343070337385.56,0.946,193146641444.01,0.8499,18182873.22,0.6044,75.2,1570,0,936,0,3,0
ultra_a1.25_d0.08_filt,True,1.5,1.25,0.08,10.0,True,2509,930,1579,0.3707,670.45,0.2672,2.2134,-0.879,1.483,16.32,0.1597,0.1207,2.518,92,121,0.76,1.6545069084403464e+18,0.9995,4.661916534399432e+16,0.9857,363625044822623.06,0.9534,312016259860.55,0.8641,24976760.31,0.6231,73.0,1579,0,927,0,3,0
ultra_a0.75_d0.1_filt,True,1.5,0.75,0.1,10.0,True,2509,943,1566,0.3758,555.18,0.2213,1.7987,-0.7286,1.487,14.84,0.1519,0.123,2.469,91,121,0.752,4.392000748553234e+16,0.9952,564846621991375.5,0.9634,5903340960567.01,0.9121,11251249443.17,0.7959,3482414.95,0.5409,87.9,1566,0,941,0,2,0
ultra_a0.85_d0.1_filt,True,1.5,0.85,0.1,10.0,True,2509,952,1557,0.3794,573.27,0.2285,1.8553,-0.7662,1.481,16.84,0.1534,0.1232,2.421,88,121,0.727,7.977632532128106e+16,0.9961,1164090282050493.0,0.9681,11540063170281.96,0.9208,19217318015.28,0.8096,4765605.33,0.5565,85.1,1557,0,950,0,2,0
ultra_a0.95_d0.1_filt,True,1.5,0.95,0.1,10.0,True,2509,952,1557,0.3794,610.85,0.2435,1.9568,-0.8041,1.488,17.82,0.1568,0.1244,2.433,85,121,0.702,4.636337651732362e+17,0.9982,6335645915142496.0,0.9797,50994599674950.79,0.9432,60423326506.99,0.8468,9197495.82,0.6017,80.0,1557,0,949,0,3,0
ultra_a1.0_d0.1_filt,True,1.5,1.0,0.1,10.0,True,2509,942,1567,0.3754,606.21,0.2416,1.9928,-0.8111,1.477,17.82,0.1542,0.1212,2.457,84,121,0.694,1.3967507602678344e+17,0.9988,3227508315892866.0,0.9811,32360011540850.98,0.9463,46268764744.79,0.8526,8206795.96,0.6093,80.6,1567,0,939,0,3,0
