symbol,strategy,tf,side,entry_price,stop_dist,conviction,grade,source,entry_ts,outcome,pnl_r,exit_ts,ema8_slope,ema21_slope,price_vs_ema8,price_vs_ema21,ema8_21_spread,ema_ribbon_width,atr_pct,atr_expansion,stop_atr_ratio,rsi,rsi_roc,bb_position,bb_width_pct,vol_ratio,vol_trend,body_ratio,upper_wick_ratio,lower_wick_ratio,body_direction,range_5bar_pct,range_20bar_pct,position_in_range,momentum_10,momentum_20,direction_alignment
PIPPIN/USDT:USDT,EMA_RIB,1h,long,0.73503,0.024845,75.1,A,hunter,2026-02-23T22:30:31.706353+00:00,loss,-1.8686,2026-02-23T22:30:34.390389+00:00,1.0968,2.5418,1.0685,4.8441,3.7357,2.0345,3.3887,0.9964,0.9965,75.09,-8.2,0.7399,14.9526,0.2483,0.7109,0.6556,0.214,0.1304,1.0,5.1064,18.618,0.7694,2.5179,14.5763,1.0
WLFI/USDT:USDT,PIN_BAR,1h,short,0.11059,0.002222,65.5,A,hunter,2026-02-23T22:30:41.610876+00:00,,0.0,,-1.422,-1.0126,-0.8664,-2.0397,-1.1836,-0.7784,1.9933,0.9643,1.008,36.46,-4.71,0.1616,6.8485,0.0937,0.4871,0.1446,0.7831,0.0723,-1.0,2.5047,9.386,0.3218,-1.0203,-2.5209,3.0
AGLD/USDT:USDT,TR_PULL,1h,long,0.31532,0.017411,53.7,B,hunter,2026-02-23T22:52:45.938974+00:00,win,0.0009,2026-02-23T22:52:50.639935+00:00,-5.6174,-4.0891,-0.7503,-5.2097,-4.4931,-3.6457,5.5033,0.8147,0.9994,41.86,4.77,0.2659,41.1353,0.215,0.3425,0.5459,0.1095,0.3447,1.0,5.8822,44.3437,0.1173,-5.4284,-14.5222,-1.0
ETH/USDT:USDT,TR_PULL,15m,short,1854.71,8.828076,70.5,A,hunter,2026-02-24T00:06:33.514763+00:00,loss,-1.2279,2026-02-24T00:17:15.101068+00:00,-0.2332,-0.1759,-0.161,-0.391,-0.2303,-0.1178,0.4787,0.799,0.9942,42.11,-0.42,0.3449,1.2653,0.4979,0.9558,0.0879,0.7343,0.1778,-1.0,0.8793,1.2632,0.3969,-0.4081,0.1285,3.0
SOL/USDT:USDT,EMA_RIB,15m,short,78.24,0.420816,68.5,A,hunter,2026-02-24T00:17:14.090935+00:00,win,1.8976,2026-02-24T01:13:42.765847+00:00,-0.3108,-0.2327,0.1196,-0.1014,-0.2208,-0.115,0.5442,0.8181,0.9875,47.5,1.27,0.5185,1.384,0.1086,0.776,0.4444,0.0,0.5556,1.0,1.111,1.6345,0.5703,-0.584,0.0639,3.0
XAUT/USDT:USDT,EMA_RIB,15m,long,5208.6,15.6258,79.5,A,hunter,2026-02-24T00:17:15.584687+00:00,loss,-0.278,2026-02-24T00:17:32.364198+00:00,0.0077,0.0875,-0.0354,0.0904,0.1258,0.0619,0.1807,1.0029,1.6597,57.04,-16.13,0.5522,0.5812,0.0767,0.7468,1.0,0.0,0.0,1.0,0.6181,0.86,0.5759,0.0884,0.3139,3.0
FARTCOIN/USDT:USDT,EMA_RIB,15m,short,0.1451,0.001413,70.1,A,hunter,2026-02-24T00:17:16.713926+00:00,win,1.8763,2026-02-24T01:05:43.931964+00:00,-1.0599,-0.7772,-0.6392,-1.5587,-0.9254,-0.5932,0.9774,0.8711,0.9961,33.96,-7.4,0.0827,4.0677,0.1132,1.142,0.575,0.125,0.3,-1.0,2.8938,4.9883,0.2334,-2.0251,-2.4597,3.0
HYPE/USDT:USDT,TR_PULL,15m,short,26.425,0.197765,72.1,A,hunter,2026-02-24T00:22:39.082062+00:00,loss,-0.1191,2026-02-24T00:22:55.696103+00:00,-0.0086,-0.0802,0.1321,0.0445,-0.0874,-0.0189,0.7574,0.8358,0.9885,48.52,5.04,0.5629,1.555,0.4306,0.693,0.3429,0.4429,0.2143,-1.0,1.0184,2.0671,0.5842,-0.4035,0.7322,3.0
BTC/USDT:USDT,TR_PULL,15m,short,64799.6,274.435165,70.4,A,hunter,2026-02-24T00:28:01.663324+00:00,win,1.7038,2026-02-24T01:13:44.702989+00:00,0.0412,0.0033,0.0969,0.1013,0.0043,0.0461,0.4258,0.8218,0.9946,50.45,0.01,0.7122,1.8008,0.7734,0.5557,0.2348,0.5816,0.1836,-1.0,0.7741,1.7781,0.8389,-0.2002,0.9656,1.0
ESP/USDT:USDT,BB_FADE,15m,short,0.10499,0.003576,73.5,A,portfolio,2026-02-24T01:00:01.641956+00:00,loss,-0.0754,2026-02-24T01:00:04.308398+00:00,1.5854,0.2734,1.6018,1.6194,0.0173,0.0163,3.4194,1.1848,0.996,57.53,13.31,0.7608,6.4759,2.1262,1.6699,0.0326,0.6226,0.3448,-1.0,15.7063,17.6112,0.3288,3.083,0.2387,-1.0
ETH/USDT:USDT,EMA_RIB,15m,short,1838.26,9.60461,84.9,A+,hunter,2026-02-24T01:16:05.177439+00:00,loss,-1.0356,2026-02-24T01:16:19.704121+00:00,-0.3538,-0.2135,-1.0235,-1.3656,-0.3456,-0.2183,0.55,0.9747,0.9523,32.48,-14.85,-0.2925,1.7583,1.6337,1.5488,0.7407,0.1356,0.1237,-1.0,1.9908,2.005,0.0479,-1.6543,-1.1726,3.0
